country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
tr,rf,m2,full,32,0.03390391877582151,0.017276450447046156,0.9360481420887504,-1.1470057677239804,0.2513792371636878
tr,rf,m3,pre_crisis,8,0.015377273410594845,0.013810840338706625,0.8272558242066245,-1.1630578231225572,0.2448060428348473
tr,rf,m3,covid,7,0.06737733199865428,0.04254322659387618,0.886231945995962,-1.379161164753732,0.16784506884381933
tr,rf,m3,post_covid,16,0.011126358262850116,0.007396426474588649,0.9613083918554992,-0.502654171046018,0.6152074359863737
tr,rf,m3,full,32,0.03344524521442091,0.016832709248948783,0.8878050744877581,-1.4513923608269206,0.14667063571235994
tr,xgboost,m1,pre_crisis,8,0.018238070114355357,0.0162630364233758,0.9578177258600445,-0.25494092065480456,0.7987687301282707
tr,xgboost,m1,covid,7,0.07204854244203071,0.04444114349938128,0.9932704513273374,-0.10380326018896933,0.9173254791922836
tr,xgboost,m1,post_covid,16,0.016916992813204603,0.012096833680490074,1.44849080330455,2.092311416056515,0.03641066715305419
tr,xgboost,m1,full,32,0.037178741557847304,0.02063567800357913,1.0264622266980858,0.4723252870750068,0.6366946236735669
tr,xgboost,m2,pre_crisis,8,0.015547937283054585,0.012592446309656549,0.816538692794488,-0.8774085386478447,0.3802647769756997
tr,xgboost,m2,covid,7,0.0804150671729177,0.049501286084643596,1.1086124348542872,0.6450424640447475,0.5188996677142828
tr,xgboost,m2,post_covid,16,0.015497381302266544,0.011192804867836338,1.326938808776657,1.4022681822587197,0.16083517795929891
tr,xgboost,m2,full,32,0.03994648725466046,0.01971409891559858,1.1028764971075486,0.7138012510277942,0.4753500859882265
tr,xgboost,m3,pre_crisis,8,0.01787114763106238,0.013325716960161226,0.9614195292168429,-0.522253301756342,0.6014939785813826
tr,xgboost,m3,covid,7,0.06797974089013935,0.04160655079892932,0.8941555901704856,-1.3615476206616073,0.17334069521614293
tr,xgboost,m3,post_covid,16,0.011589915477049935,0.007789025445538962,1.001359361776478,0.026486890953615963,0.9788689894357263
tr,xgboost,m3,full,32,0.03408095585188641,0.016663093429576063,0.9046800331322343,-1.3182541981799185,0.18741856779819832
tr,gb,m1,pre_crisis,8,0.01376494403079668,0.010708103745425076,0.7229003565344877,-0.7899260262108347,0.4295709708416293
tr,gb,m1,covid,7,0.07972551088493124,0.054250236402143825,1.0991061233846973,0.9873108911864956,0.3234902530699739
tr,gb,m1,post_covid,16,0.017137633635248572,0.012124432836875514,1.4673828253733177,2.1398651884715476,0.03236566312421907
tr,gb,m1,full,32,0.0398795162990355,0.021030332712096877,1.1010275061693282,1.1124062134261832,0.2659635343041269
tr,gb,m2,pre_crisis,8,0.016294496327328524,0.013851026116782465,0.8557461024339474,-0.4421972858223313,0.658346449967915
tr,gb,m2,covid,7,0.07022296242300219,0.043843337801199964,0.9681027709277849,-0.4145218815069362,0.6784919453926372
tr,gb,m2,post_covid,16,0.013646090956337363,0.010690810942914668,1.1684249954804897,1.2228821714233686,0.22137420331977076
tr,gb,m2,full,32,0.03522341651540699,0.018677808598655463,0.9724779546952539,-0.4062939721145516,0.684526613920805
tr,gb,m3,pre_crisis,8,0.017243128622734798,0.013187511827845912,0.927633800857906,-1.3156759324039486,0.18828283556080105
tr,gb,m3,covid,7,0.06851058657073916,0.042519612580764546,0.9011379444220745,-1.3350621244196217,0.1818560144947985
tr,gb,m3,post_covid,16,0.011687808565997293,0.008037742331971518,1.0098172458106422,0.26700569091918736,0.7894647793973997
tr,gb,m3,full,32,0.03423724520849383,0.016913149893909775,0.908828738964556,-1.3294020122002759,0.1837153743386395
tr,dt,m1,pre_crisis,8,0.02002046573645988,0.014908031281950812,1.051424676082442,0.3656618462560413,0.7146174195542441
tr,dt,m1,covid,7,0.07100720166414151,0.04978935022512323,0.9789143937391943,-0.36303792196338164,0.7165765564135089
tr,dt,m1,post_covid,16,0.02927250911482068,0.018077709595491313,2.5064123813642687,1.534632454020464,0.12487413609286202
