series,name,freq,block_g,block_s,block_r,block_l,months_lag
totalslx,TOTALSLX,q,1,0,0,0,2
driwcil,DRIWCIL,q,1,0,0,0,2
tabshnox,TABSHNOX,q,1,0,0,0,2
tlbshnox,TLBSHNOX,q,1,0,0,0,2
liabpix,LIABPIX,q,1,0,0,0,2
tnwbshnox,TNWBSHNOX,q,1,0,0,0,2
nwpix,NWPIX,q,1,0,0,0,2
taresax,TARESAX,q,1,0,0,0,2
hnoremq027sx,HNOREMQ027SX,q,1,0,0,0,2
tfaabshnox,TFAABSHNOX,q,1,0,0,0,2
ussthpi,USSTHPI,q,1,0,1,0,2
spcs10rsa,SPCS10RSA,q,1,0,1,0,2
spcs20rsa,SPCS20RSA,q,1,0,1,0,2
exuseu,EXUSEU,q,1,0,0,0,0
usepuindxm,USEPUINDXM,q,1,1,0,0,0
b020re1q156nbea,B020RE1Q156NBEA,q,1,0,1,0,2
b021re1q156nbea,B021RE1Q156NBEA,q,1,0,1,0,2
gfdegdq188s,GFDEGDQ188S,q,1,0,1,0,2
gfdebtnx,GFDEBTNX,q,1,0,1,0,2
hwiuratiox,HWIURATIOX,q,1,1,0,1,0
conspix,CONSPIX,q,1,0,0,0,2
cp3m,CP3M,q,1,0,0,0,0
compapff,COMPAPFF,q,1,0,0,0,0
nikkei225,NIKKEI225,q,1,0,0,0,0
nasdaqcom,NASDAQCOM,q,1,0,0,0,0
cusr0000sehc,CUSR0000SEHC,q,1,0,1,0,2
tlbsnncbx,TLBSNNCBX,q,1,0,0,0,2
tlbsnncbbdix,TLBSNNCBBDIX,q,1,0,0,0,2
ttaabsnncbx,TTAABSNNCBX,q,1,0,0,0,2
tnwmvbsnncbx,TNWMVBSNNCBX,q,1,0,0,0,2
tnwmvbsnncbbdix,TNWMVBSNNCBBDIX,q,1,0,0,0,2
tlbsnnbx,TLBSNNBX,q,1,0,0,0,2
tlbsnnbbdix,TLBSNNBBDIX,q,1,0,0,0,2
tabsnnbx,TABSNNBX,q,1,0,0,0,2
tnwbsnnbx,TNWBSNNBX,q,1,0,0,0,2
tnwbsnnbbdix,TNWBSNNBBDIX,q,1,0,0,0,2
cncfx,CNCFX,q,1,0,0,0,2
bopgstb,BOPGSTB,m,1,0,1,0,1
cfnai,CFNAI,m,1,0,1,0,1
cscicp03usm665s,CSCICP03USM665S,m,1,1,0,0,1
dspic96,DSPIC96,m,1,0,1,0,1
dtwexbgs_monthly_avg,DTWEXBGS_MONTHLY_AVG,m,1,0,0,0,0
dtwexm_monthly_avg,DTWEXM_MONTHLY_AVG,m,1,0,0,0,0
gacdfsa066msfrbphi,GACDFSA066MSFRBPHI,m,1,1,0,0,1
gacdisa066msfrbny,GACDISA066MSFRBNY,m,1,1,0,0,1
hsn1f,HSN1F,m,1,0,1,0,2
nfci_monthly_avg,NFCI_MONTHLY_AVG,m,1,0,0,0,0
pce,PCE,m,1,0,1,0,1
pcec96,PCEC96,m,1,0,1,0,1
pi,PI,m,1,0,1,0,1
ppifis,PPIFIS,m,1,0,1,0,1
rsafs,RSAFS,m,1,0,1,0,1
tcu,TCU,m,1,0,1,0,1
tlofcons,TLOFCONS,m,1,0,0,0,2
ttlcons,TTLCONS,m,1,0,1,0,2
uspmi_clean,USPMI_CLEAN,m,1,1,0,0,0
us_services_pmi_clean,US_SERVICES_PMI_CLEAN,m,1,1,0,0,0
expgs,EXPGS,q,1,0,1,0,2
impgs,IMPGS,q,1,0,1,0,2
covid_2020q2,covid_2020q2,m,1,0,0,0,0
covid_2020q3,covid_2020q3,m,1,0,0,0,0
covid_2020q4,covid_2020q4,m,1,0,0,0,0
icsa_weekly,ICSA_WEEKLY,w,1,0,0,1,0
nfci_weekly,NFCI_WEEKLY,w,1,1,0,0,0
dtwexbgs,DTWEXBGS,w,1,0,0,0,0
dtwexm,DTWEXM,w,1,0,0,0,0
