Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1971-01-09,-0.05077232537342269,0.626,,,0,0,0
1971-01-16,0.037483093254738975,0.663,,,0,0,0
1971-01-23,0.04255961441879741,0.704,,,0,0,0
1971-01-30,-0.06624938554120163,0.747,,,0,0,0
1971-02-06,0.01360565205577835,0.79,,,0,0,0
1971-02-13,-0.04845238338594626,0.832,,,0,0,0
1971-02-20,-0.050920090427256426,0.874,,,0,0,0
1971-02-27,0.07889394246966219,0.917,,,0,0,0
1971-03-06,0.023851215822180194,0.963,,,0,0,0
1971-03-13,-0.03424992304307928,1.014,,,0,0,0
1971-03-20,0.013841051411871419,1.073,,,0,0,0
1971-03-27,0.030459207484708983,1.139,,,0,0,0
1971-04-03,-0.0033389012655149486,1.211,,,0,0,0
1971-04-10,-0.06923179156932058,1.286,,,0,0,0
1971-04-17,0.017762456339841748,1.356,,,0,0,0
1971-04-24,0.013986241974739855,1.415,,,0,0,0
1971-05-01,0.006920442844572605,1.454,,,0,0,0
1971-05-08,0.010291686036547176,1.465,,,0,0,0
1971-05-15,-0.031198370855859636,1.444,,,0,0,0
1971-05-22,0.03800111817861307,1.392,,,0,0,0
1971-05-29,0.01346821705086576,1.313,,,0,0,0
1971-06-05,0.006666691358189425,1.214,,,0,0,0
1971-06-12,-0.020134908409055186,1.112,,,0,0,0
1971-06-19,0.01346821705086576,1.024,,,0,0,0
1971-06-26,-0.027120306219194035,0.966,,,0,0,0
1971-07-03,-0.049305760984152514,0.954,,,0,0,0
1971-07-10,-0.048068403041023444,0.997,,,0,0,0
1971-07-17,0.17025408739383785,1.097,,,0,0,0
1971-07-24,-0.029175489133931976,1.249,,,0,0,0
1971-07-31,0.013072081567353067,1.439,,,0,0,0
1971-08-07,0.12497213922885209,1.647,,,0,0,0
1971-08-14,-0.0712467398726897,1.851,,,0,0,0
1971-08-21,-0.015504186535965303,2.024,,,0,0,0
1971-08-28,-0.041473248206575164,2.153,,,0,0,0
1971-09-04,0.15647464090108265,2.223,,,0,0,0
1971-09-11,-0.1403192006787961,2.232,,,0,0,0
1971-09-18,-0.032576170434612806,2.185,,,0,0,0
1971-09-25,0.019672765598704345,2.092,,,0,0,0
1971-10-02,-0.029656209582888948,1.967,,,0,0,0
1971-10-09,0.04575961714946786,1.828,,,0,0,0
1971-10-16,-0.04575961714946786,1.691,,,0,0,0
1971-10-23,-0.01686380605200455,1.57,,,0,0,0
1971-10-30,-0.038132869695443716,1.474,,,0,0,0
1971-11-06,0.06166336710563769,1.408,,,0,0,0
1971-11-13,-0.020134908409055186,1.371,,,0,0,0
1971-11-20,-0.07384724995175063,1.355,,,0,0,0
1971-11-27,0.014493007302567307,1.353,,,0,0,0
1971-12-04,0.07282245970004908,1.356,,,0,0,0
1971-12-11,-0.06565397022143671,1.354,,,0,0,0
1971-12-18,-0.04007822356740931,1.338,,,0,0,0
1971-12-25,-0.09754315430863869,1.306,,,0,0,0
1972-01-01,0.13404355652816413,1.248,,,0,0,0
1972-01-08,0.05576357451845482,1.172,,,0,0,0
1972-01-15,-0.1655144384775742,1.081,,,0,0,0
1972-01-22,0.050693114315519594,0.981,,,0,0,0
1972-01-29,0.022557347424074337,0.878,,,0,0,0
1972-02-05,0.025689486115309634,0.778,,,0,0,0
1972-02-12,-0.03690455693545047,0.685,,,0,0,0
1972-02-19,-0.030536723860080883,0.602,,,0,0,0
1972-02-26,-0.015625317903081637,0.531,,,0,0,0
1972-03-04,0.011741817876682603,0.471,,,0,0,0
1972-03-11,0.02687301825109678,0.42,,,0,0,0
1972-03-18,0.007547205635383136,0.375,,,0,0,0
1972-03-25,-0.007547205635383136,0.332,,,0,0,0
1972-04-01,-0.022989518224697747,0.288,,,0,0,0
1972-04-08,0.06016852146645135,0.242,,,0,0,0
1972-04-15,-0.056300044688532225,0.193,,,0,0,0
1972-04-22,0.0,0.145,,,0,0,0
1972-04-29,0.022901764286684667,0.101,,,0,0,0
1972-05-06,0.02238899489347901,0.063,,,0,0,0
1972-05-13,-0.01862251209800192,0.037,,,0,0,0
1972-05-20,0.0037523496185514205,0.027,,,0,0,0
1972-05-27,0.0,0.035,,,0,0,0
1972-06-03,-0.011299555253934557,0.06,,,0,0,0
1972-06-10,0.01503787736454143,0.101,,,0,0,0
1972-06-17,0.02578411715571427,0.153,,,0,0,0
1972-06-24,0.039220713153280684,0.209,,,0,0,0
1972-07-01,0.2019413436636075,0.261,,,0,0,0
1972-07-08,-0.16420101568076007,0.302,,,0,0,0
1972-07-15,0.06831924397747713,0.326,,,0,0,0
1972-07-22,-0.14165051706302734,0.33,,,0,0,0
1972-07-29,-0.11101252908917303,0.311,,,0,0,0
1972-08-05,0.012072581234269464,0.273,,,0,0,0
1972-08-12,-0.01612938192988267,0.218,,,0,0,0
1972-08-19,0.039845908547199826,0.153,,,0,0,0
1972-08-26,0.023167059281533398,0.085,,,0,0,0
1972-09-02,-0.015384918839478345,0.02,,,0,0,0
1972-09-09,0.0038684767779191276,-0.036,,,0,0,0
1972-09-16,-0.0038684767779191276,-0.081,,,0,0,0
1972-09-23,-0.011696039763192445,-0.115,,,0,0,0
1972-09-30,-0.015810606026642304,-0.138,,,0,0,0
1972-10-07,0.046701093045982134,-0.155,,,0,0,0
1972-10-14,-0.050693114315519594,-0.168,,,0,0,0
1972-10-21,0.027615167032973176,-0.181,,,0,0,0
1972-10-28,-0.0937549695375175,-0.196,,,0,0,0
1972-11-04,0.08594242980072408,-0.214,,,0,0,0
1972-11-11,-0.05232581900173905,-0.234,,,0,0,0
1972-11-18,0.1131810947230143,-0.255,,,0,0,0
1972-11-25,-0.1425333067355421,-0.272,,,0,0,0
1972-12-02,-0.03905051487187272,-0.282,,,0,0,0
1972-12-09,0.10889408823913804,-0.279,,,0,0,0
1972-12-16,0.04272494466634136,-0.257,,,0,0,0
1972-12-23,-0.06682249624540226,-0.212,,,0,0,0
1972-12-30,-0.08923113372794234,-0.139,,,0,0,0
1973-01-06,0.004434597067865198,-0.037,,,0,0,0
1973-01-13,0.08072321127244031,0.092,,0.00029555522110236154,0,0,0
1973-01-20,-0.06753620699048746,0.244,,0.0013455188782973693,0,0,0
1973-01-27,-0.067745988532387,0.412,,-0.003860527027776506,0,0,0
1973-02-03,0.06336961393258811,0.586,,-0.003963784796946257,0,0,0
1973-02-10,-0.008810629682153959,0.755,,-0.007113424556403736,0,0,0
1973-02-17,-0.0452565915881209,0.91,,-0.05389369168669944,0,0,0
1973-02-24,0.009216655104923532,1.041,,-0.0077179028557967655,0,0,0
1973-03-03,0.03160533941533217,1.144,,-0.005258625493218538,0,0,0
1973-03-10,0.01762160134981805,1.214,,-0.0047030254010431705,0,0,0
1973-03-17,-0.004376374599798893,1.257,,0.005648381397954871,0,0,0
1973-03-24,0.017391742711870606,1.274,,0.005338212517608021,0,0,0
1973-03-31,-0.044059989794030585,1.271,,0.002520072753933178,0,0,0
1973-04-07,0.10671095475569636,1.255,,-0.0006073356807831942,0,0,0
1973-04-14,-0.07130902770478009,1.23,,0.00018362893507628542,0,0,0
1973-04-21,0.05498213441735267,1.202,,0.0009622596581566611,0,0,0
1973-04-28,-0.02922963831493952,1.174,,0.0011802311194006876,0,0,0
1973-05-05,0.049596941139371964,1.15,,-0.0001039946319894014,0,0,0
1973-05-12,-0.04115807249350745,1.131,,-0.0024931634421738735,0,0,0
1973-05-19,-0.004210532536342626,1.12,,-0.00950886386322658,0,0,0
1973-05-26,0.004210532536342626,1.121,,-0.0008614634077375172,0,0,0
1973-06-02,-0.02553330200516335,1.135,,-0.010684835434207507,0,0,0
1973-06-09,0.05859416426605257,1.165,,-0.0008948165158075838,0,0,0
1973-06-16,-0.03727139479723185,1.214,,-0.0011282848780505006,0,0,0
1973-06-23,0.020877585021555234,1.283,,-0.004647388522426965,0,0,0
1973-06-30,-0.020877585021555234,1.371,,-0.007646853155180544,0,0,0
1973-07-07,0.04536860502985007,1.478,,-0.02358844923167247,0,0,0
1973-07-14,-0.0666913744986708,1.598,,0.018801782513594212,0,0,0
1973-07-21,0.038059561824344,1.728,,-0.006047451329846076,0,0,0
1973-07-28,0.03666398437159124,1.86,,0.00025162569043857275,0,0,0
1973-08-04,0.023716526617317157,1.989,,0.004697500629599283,0,0,0
1973-08-11,0.03455238150665885,2.109,,0.009054533935343834,0,0,0
1973-08-18,-0.026770241064603795,2.216,,0.00845789521652307,0,0,0
