country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,rf,post1,full_ex_2020q2,35,0.012665127694104066,0.005652980102691641,0.6838222555176706,-1.0691885254610316,0.2849847281060429
us,rf,post1,non_covid,29,0.0054660884403691865,0.0035056164380482006,0.9768864832834552,-1.853524600918078,0.06380720340894674
us,xgboost,m1,pre_covid,12,0.002766064776675837,0.0022065946203339497,0.8922442822908482,-0.9815781071442934,0.3263077373938752
us,xgboost,m1,covid,7,0.042894724320638164,0.02679901343827088,0.9102635928702554,-1.7362319181893582,0.08252283571284758
us,xgboost,m1,post_covid,16,0.0045630619288200055,0.003444487491274806,0.9835834462696589,-0.4514029572022041,0.6516991523727502
us,xgboost,m1,full,36,0.019543591847564608,0.00806370969667407,0.9132869032892789,-1.6036878958761505,0.10878286526689207
us,xgboost,m1,full_ex_2020q2,35,0.012693383475952337,0.005720927086857048,0.8220335244217478,-1.5866966163764746,0.11258137305665161
us,xgboost,m1,non_covid,29,0.005479018730248966,0.0035413950004265626,0.9618552917542114,-1.455076785920313,0.1456480050228539
us,xgboost,m2,pre_covid,12,0.002755931875849514,0.00219355245480865,0.888975731640284,-1.1692595845769964,0.24229906113347655
us,xgboost,m2,covid,7,0.04281238687111125,0.02675940982398517,0.9085163201270179,-1.7871217209877606,0.07391781754329751
us,xgboost,m2,post_covid,16,0.004595101055039534,0.003465936978774806,0.9904895883895887,-0.26047138973287826,0.7945001815308059
us,xgboost,m2,full,36,0.0195116786965339,0.008061527210943414,0.9117955774825199,-1.633210048309245,0.10242482735929936
us,xgboost,m2,full_ex_2020q2,35,0.012709335219815186,0.005728066358676945,0.8230665719345006,-1.5808895555404583,0.11390329283806389
us,xgboost,m2,non_covid,29,0.005493251385774221,0.003548245200898851,0.9643538696395364,-1.4064578883036694,0.15958820102926485
us,xgboost,m3,pre_covid,12,0.002733647821204617,0.00220264405480865,1.0041126430942389,0.05368780023854327,0.9571839027831954
us,xgboost,m3,covid,7,0.04258216971794321,0.02660432019541375,0.834537335930523,-0.9056991867135138,0.36509509310387234
us,xgboost,m3,post_covid,16,0.0044267134080873734,0.0033062543505924065,0.9334888793636323,-2.8791851166055884,0.003987042272430408
us,xgboost,m3,full,36,0.01939526617872922,0.007963652537306791,0.8413149413073989,-0.9253606049832585,0.3547783636347597
us,xgboost,m3,full_ex_2020q2,35,0.01267264748804235,0.005648249865793562,0.6842282681987982,-1.0705960063550215,0.2843511199490474
us,xgboost,m3,non_covid,29,0.0054128211777327,0.0034641810336258033,0.9673666832584891,-2.3533323800158508,0.018605994379396584
us,xgboost,post1,pre_covid,12,0.0026899529408629342,0.002169131196475317,0.9880628134675974,-0.16534377881431117,0.8686734024804574
us,xgboost,post1,covid,7,0.04249054756572045,0.02643779609541374,0.8327416992277746,-0.9134403292388822,0.361011003118586
us,xgboost,post1,post_covid,16,0.00438615941935756,0.0033119947286808435,0.9249370048682206,-2.5764706139178535,0.00998146894499441
us,xgboost,post1,full,36,0.01935332840381921,0.007925684094234985,0.8394957924330374,-0.9330485419610058,0.3507949059168616
us,xgboost,post1,full_ex_2020q2,35,0.012634972183594606,0.005613233324348278,0.6821940832867294,-1.0731317750750555,0.28321199609159553
us,xgboost,post1,non_covid,29,0.005400258946458827,0.0034572432663642523,0.965121590800655,-2.430492038708675,0.015078337313970236
us,gb,m1,pre_covid,12,0.0026165574472089745,0.002073425693669833,0.8440179858562094,-2.5960837275151083,0.009429308477745257
us,gb,m1,covid,7,0.04227515471287935,0.0265491480325922,0.8971157835271748,-2.015822537858996,0.04381853594048901
