country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,gb,m1,covid,7,0.04208924576519724,0.026136389448045527,0.8931706329441129,-2.042411746547778,0.04111070552998375
us,gb,m1,post_covid,16,0.004820075032678096,0.0035583095961473,1.0389834908828106,0.8917091031241811,0.37254887300050754
us,gb,m1,full,36,0.019214008994650027,0.007976404878531148,0.8978852460369497,-1.7710966479021555,0.07654463135558065
us,gb,m2,pre_covid,12,0.002770217602009659,0.002157453073292075,0.8935838513026442,-2.1799166175885794,0.029263642903419207
us,gb,m2,covid,7,0.041187574760502964,0.02571979790823827,0.8740363850542144,-2.2595713127861723,0.02384786971394326
us,gb,m2,post_covid,16,0.004736591413562322,0.0034750144669536,1.0209883141620355,0.8675094797201409,0.38566291997676205
us,gb,m2,full,36,0.01882035082700696,0.007837619284599287,0.879489300619881,-1.8886095940644905,0.058944160491365416
us,gb,m3,pre_covid,12,0.0026650322855406735,0.0020900975938883417,0.9789090574902641,-0.35300916060062926,0.7240815729381596
us,gb,m3,covid,7,0.04247166502180368,0.026287942034421714,0.8323716338224589,-0.9157336599914496,0.35980660595316616
us,gb,m3,post_covid,16,0.004501023960253827,0.0033750146462479752,0.949159212559367,-2.9177828364679934,0.003525297731971966
us,gb,m3,full,36,0.019335021396820647,0.007878931133281456,0.838701683273793,-0.9375383175230233,0.34848172324421256
us,dt,m1,pre_covid,12,0.0024294521493636086,0.001813108555166358,0.7836637838879239,-2.423976290106559,0.015351607730873074
us,dt,m1,covid,7,0.04293824654451831,0.026909926788051593,0.9111871725529854,-1.7224464264740622,0.08498867969982538
us,dt,m1,post_covid,16,0.004392411704097743,0.0033588031140066063,0.9467992126218768,-1.4200325724456897,0.15559819851295353
us,dt,m1,full,36,0.019511830753982086,0.00789909769718781,0.9118026832426616,-1.6391230307433893,0.10118763948104381
us,dt,m2,pre_covid,12,0.002823835156963845,0.0021709406270016,0.910879164572849,-1.2640408192677133,0.20621537623762487
us,dt,m2,covid,7,0.04267148343456126,0.0266491040689275,0.9055262258803914,-1.8972662361115205,0.057792808805786855
